,close,open,high,low
2004-03-07 00:00:00,1.2384,1.2384,1.2384,1.2384
2004-03-08 00:00:00,1.2408,1.2408,1.2408,1.2408
2004-03-09 00:00:00,1.23135,1.23135,1.23135,1.23135
2004-03-10 00:00:00,1.2243,1.2243,1.2243,1.2243
2004-03-11 00:00:00,1.2337,1.2337,1.2337,1.2337
2004-03-12 00:00:00,1.2222,1.2222,1.2222,1.2222
2004-03-14 00:00:00,1.2236,1.2236,1.2236,1.2236
2004-03-15 00:00:00,1.22705,1.22705,1.22705,1.22705
2004-03-16 00:00:00,1.2264,1.2264,1.2264,1.2264
2004-03-17 00:00:00,1.2236,1.2236,1.2236,1.2236
2004-03-18 00:00:00,1.239,1.239,1.239,1.239
2004-03-19 00:00:00,1.2276,1.2276,1.2276,1.2276
2004-03-21 00:00:00,1.2282,1.2282,1.2282,1.2282
2004-03-22 00:00:00,1.2333,1.2333,1.2333,1.2333
2004-03-23 00:00:00,1.2328,1.2328,1.2328,1.2328
2004-03-24 00:00:00,1.2127,1.2127,1.2127,1.2127
2004-03-25 00:00:00,1.2136,1.2136,1.2136,1.2136
2004-03-26 00:00:00,1.2127,1.2127,1.2127,1.2127
2004-03-28 00:00:00,1.2121,1.2121,1.2121,1.2121
2004-03-29 00:00:00,1.2158,1.2158,1.2158,1.2158
2004-03-30 00:00:00,1.2169,1.2169,1.2169,1.2169
2004-03-31 00:00:00,1.2316,1.2316,1.2316,1.2316
2004-04-01 00:00:00,1.2363,1.2363,1.2363,1.2363
2004-04-02 00:00:00,1.2136,1.2136,1.2136,1.2136
2004-04-04 00:00:00,1.2118,1.2118,1.2118,1.2118
2004-04-04 23:00:00,1.2018,1.2018,1.2018,1.2018
2004-04-05 23:00:00,1.2118,1.2118,1.2118,1.2118
2004-04-06 23:00:00,1.2173,1.2173,1.2173,1.2173
2004-04-07 23:00:00,1.2086,1.2086,1.2086,1.2086
2004-04-08 23:00:00,1.2093,1.2093,1.2093,1.2093
2004-04-10 23:00:00,1.2091,1.2091,1.2091,1.2091
